date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2025-05-28,204.54166666666666,52.10833333333333,331.2916666666667,8.9125,6.933333333333334,114.91666666666667,0.7741666666666666,305.7083333333333,1.9625000000000001,134.16666666666666,116.5
2025-05-29,202.46666666666667,59.97083333333333,352.1666666666667,12.737499999999999,6.45,102.83333333333333,0.8295833333333333,292.7916666666667,1.3708333333333333,144.79166666666666,116.66666666666667
2025-05-30,242.9,57.55833333333334,311.5833333333333,8.5375,5.0,101.79166666666667,0.6749999999999999,386.7083333333333,2.0375,152.5,133.33333333333334
2025-05-31,253.35833333333335,51.30833333333334,230.66666666666666,7.891666666666667,4.704166666666667,93.875,0.6483333333333333,415.2083333333333,1.7354166666666666,143.95833333333334,130.54166666666666
2025-06-01,295.84999999999997,48.19166666666666,205.95833333333334,4.579166666666667,3.3791666666666664,91.54166666666667,0.6162500000000001,501.5416666666667,2.1020833333333333,176.20833333333334,163.04166666666666
2025-06-02,202.07500000000002,43.0875,242.75,8.075000000000001,4.8500000000000005,90.54166666666667,0.6024999999999999,316.1666666666667,2.1395833333333334,140.95833333333334,134.75
2025-06-03,159.07916666666668,39.237500000000004,344.7916666666667,6.8125,4.591666666666667,96.375,0.7020833333333334,235.83333333333334,1.6541666666666668,109.70833333333333,103.375
2025-06-04,251.22916666666666,54.50416666666666,324.0833333333333,11.033333333333333,5.7124999999999995,92.58333333333333,0.6354166666666666,395.5416666666667,1.8104166666666668,135.33333333333334,128.83333333333334
2025-06-05,182.0,45.083333333333336,363.375,13.070833333333333,5.504166666666666,94.08333333333333,0.5070833333333333,277.5833333333333,2.3125,138.5,126.625
2025-06-06,189.72083333333333,42.1625,284.0833333333333,12.020833333333334,5.020833333333333,87.70833333333333,0.5091666666666667,301.75,2.0770833333333334,119.33333333333333,112.75
2025-06-07,191.26250000000002,43.75,260.875,11.820833333333333,5.241666666666666,88.95833333333333,0.4675,299.4166666666667,2.308333333333333,118.875,113.54166666666667
2025-06-08,222.42916666666667,42.46666666666667,239.83333333333334,7.3875,4.675,97.33333333333333,0.40208333333333335,363.3333333333333,2.3041666666666667,124.875,121.91666666666667
